filer_lastname,filer_firstname,filer_office,office_first_name,office_middle_name,office_last_name,report_title,reporting_year,begin_travel_date,end_travel_date,date_received,transaction_date,num_pages,doc_url,file_name,source,id,date_of_birth,gender,party,state,notes,is_member,document_link
DAVIS,WESLEY,"KENNEDY, JOHN",JOHN,NA,NA,Employee Reimbursed Travel,2024,2024-04-25,2024-04-26,2024-05-21,2024-05-21,17,https://giftrule-disclosure.senate.gov/media/2024/NdHwQHLTVkeIvI6knAm9g.pdf,NdHwQHLTVkeIvI6knAm9g.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
DRAGO,REBECCA,"MURPHY, CHRIS",CHRIS,NA,NA,Employee Reimbursed Travel,2024,2024-04-24,2024-04-25,2024-05-30,2024-05-30,17,https://giftrule-disclosure.senate.gov/media/2024/vcvqICQZ30iutAc5A6MvRA.pdf,vcvqICQZ30iutAc5A6MvRA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
EREMEEVA,FRANCESCA,"VAN HOLLEN, CHRIS",CHRIS,NA,NA,Employee Reimbursed Travel,2024,2024-04-21,2024-04-26,2024-05-23,2024-05-24,24,https://giftrule-disclosure.senate.gov/media/2024/pz9FqYmEhpvety75rA.pdf,pz9FqYmEhpvety75rA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
ERNST,JONI,"ERNST, JONI",JONI,NA,NA,Member Reimbursed Travel,2024,2024-04-01,2024-04-08,2024-05-07,2024-05-08,19,https://giftrule-disclosure.senate.gov/media/2024/BCxbNeIZpUKtcMTrujptmg.pdf,BCxbNeIZpUKtcMTrujptmg.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,TRUE,NA
GALLOGLY,RYAN,"REED, JACK",JACK,NA,NA,Employee Reimbursed Travel,2024,2024-04-01,2024-04-04,2024-05-06,2024-05-07,20,https://giftrule-disclosure.senate.gov/media/2024/9vbcaH72USLnHSxWTHaEQ.pdf,9vbcaH72USLnHSxWTHaEQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
GILES,RYAN,"GRAHAM, LINDSEY",LINDSEY,NA,NA,Employee Reimbursed Travel,2024,2024-04-25,2024-04-26,2024-05-06,2024-05-07,18,https://giftrule-disclosure.senate.gov/media/2024/pzDSHgZd8kasNKGYwOiYEA.pdf,pzDSHgZd8kasNKGYwOiYEA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
GONZALEZ,SANTIAGO,"BENNET, MICHAEL",MICHAEL,NA,NA,Employee Reimbursed Travel,2024,2024-04-23,2024-04-27,2024-05-21,2024-05-22,11,https://giftrule-disclosure.senate.gov/media/2024/G7gyXZ3lF0CIBbNYTCpBig.pdf,G7gyXZ3lF0CIBbNYTCpBig.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
GORMAN,ALEX,"HAWLEY, JOSH",JOSH,NA,NA,Employee Reimbursed Travel,2024,2024-04-05,2024-04-07,2024-05-28,2024-05-28,16,https://giftrule-disclosure.senate.gov/media/2024/SzHoCLR00EqSi9jXTcEunA.pdf,SzHoCLR00EqSi9jXTcEunA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
GRAMS,BROOKE,"WELCH, PETER",PETER,NA,NA,Employee Reimbursed Travel,2024,2024-04-19,2024-04-24,2024-05-15,2024-05-16,30,https://giftrule-disclosure.senate.gov/media/2024/oah2kDOtNEGa7W4oov6w.pdf,oah2kDOtNEGa7W4oov6w.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
GRANTZ,BRAD,"CRUZ, TED",TED,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-30,2024-05-30,20,https://giftrule-disclosure.senate.gov/media/2024/K0C4JNWe7UGY6YeR6JiELg.pdf,K0C4JNWe7UGY6YeR6JiELg.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
GRIBBIN,BILLY,"LEE, MIKE",MIKE,NA,NA,Employee Reimbursed Travel,2024,2024-04-03,2024-04-05,2024-05-06,2024-05-07,10,https://giftrule-disclosure.senate.gov/media/2024/5gfT6hxU0Ee6AcYcD6fIA.pdf,5gfT6hxU0Ee6AcYcD6fIA.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
HANKEY,MARY BLANCHE,"TUBERVILLE, TOMMY",TOMMY,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-16,2024-05-16,21,https://giftrule-disclosure.senate.gov/media/2024/eC6EbAPYCEiwVHqlXEuZyQ.pdf,eC6EbAPYCEiwVHqlXEuZyQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
HOBBS,CHARLIE,"BUDD,TED",TED,NA,NA,Employee Reimbursed Travel,2024,2024-04-25,2024-04-26,2024-05-24,2024-05-24,17,https://giftrule-disclosure.senate.gov/media/2024/Om4xLGwr9EGCzG1FVU7utw.pdf,Om4xLGwr9EGCzG1FVU7utw.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
JEZIERSKI,JEFFREY,"CAPITO, SHELLEY MOORE",SHELLEY,MOORE,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-13,2024-05-13,20,https://giftrule-disclosure.senate.gov/media/2024/godcPClxP0aanL2HnbkRbQ.pdf,godcPClxP0aanL2HnbkRbQ.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
JOHNSON,KRISTEN,"RICKETTS, PETE",PETE,NA,NA,Employee Reimbursed Travel,2024,2024-04-04,2024-04-05,2024-05-14,2024-05-14,35,https://giftrule-disclosure.senate.gov/media/2024/G5mXhrTLp0GZgpn7pU19w.pdf,G5mXhrTLp0GZgpn7pU19w.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
